电影排名,电影名称,演员列表,年代,类型,评分,评论人数,海报图片
90,阿玛柯德,"普佩拉·玛奇奥,阿尔曼多·布兰恰,玛加丽·诺尔,奇乔·因格拉西亚,南多·奥尔费伊,布鲁诺·扎宁,吉安菲利波·卡尔卡诺,约瑟琳·坦齐利,玛利亚·安东涅塔·贝卢齐",1973-12-13,"喜剧,剧情",8.7,5892,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2165582897.webp
91,摇滚芭比,"约翰·卡梅隆·米切尔,米利亚姆·肖尔,安德列·马丁,阿尔贝塔·瓦特森,迈克尔·皮特",2001-07-20,"剧情,喜剧,同性,音乐",8.7,5502,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p696969988.webp
92,毕加索的奇异旅程,"约斯塔·埃克曼,汉斯·艾尔佛森,Margaretha Krook,莉娜·奥琳,伯纳德·克理宾斯,Wilfrid Brambell,Lennart Nyman,帕尔·奥斯卡森,Elisabeth Söderström,Birgitta Andersson,Magnus Härenstam,Sune Mangs,Yngve Gamlin,Lisbeth Zachrisson,莱娜·尼曼,Tom Younger,Rolv Wesenlund,Sven Lindberg",1978-05-20,喜剧,8.7,4763,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2238117435.webp
93,街角的商店,"玛格里特·苏利文,詹姆斯·斯图尔特,弗兰克·摩根,约瑟夫·斯柴德克劳特,萨拉·黑登",1940-01-12,"喜剧,爱情,剧情",8.7,4623,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1362848748.webp
94,黄阿丽：小眼镜蛇,黄阿丽,2016-05-05,喜剧,8.7,4105,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2345580382.webp
95,凡尔杜先生,"查理·卓别林,Mady Correll,Allison Roddan,罗伯特·刘易斯,安德丽·贝茨,玛莎·雷伊,Ada May,伊索贝尔·埃尔索姆,玛乔丽·本尼特,Helene Heigh,Margaret Hoffman,玛丽莲·纳什,欧文·培根,Edwin Mills,弗吉尼亚·布里萨克",1947-04-11,"喜剧,犯罪,剧情",8.7,3497,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2074408234.webp
96,生命的舞动,"詹姆斯·麦卡沃伊,史蒂文·罗伯特森,萝玛拉·嘉瑞",2004-10-15,"喜剧,剧情",8.7,3238,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1353801585.webp
97,舞台春秋,"查理·卓别林,巴斯特·基顿,克莱尔·布鲁姆,尼格尔·布鲁斯,悉尼·卓别林",1952-10-16,"喜剧,剧情,音乐,爱情",8.7,2472,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2299155914.webp
98,警察与小偷,"托托,阿尔多·久弗瑞,Ernesto Almirante,Riccardo Antolini,Giulio Calì",1951-11-29,喜剧,8.7,2103,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2174353218.webp
99,纸月亮,"瑞安·奥尼尔,塔图姆·奥尼尔,玛德莲·卡恩",1973-05-09,"喜剧,犯罪,剧情",8.7,2083,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1056421242.webp
100,两头笨狗,"Brad Garrett ...  Big Dog (voice),Mark Schiff ...  Little Dog (voice),Brian Cummings ...  Hollywood (voice)",1993-09-18,"喜剧,动画",8.7,1880,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305587853.webp
101,千面佳人,"娜塔莉·伍德,伊安·邦纳,迪克·肖恩,彼得·法尔克,乔纳森·温特斯,丽拉·柯卓娃,娄·雅可比,诺玛·可瑞,阿瑟·马利特,杰罗姆·柯万,阿琳·戈隆卡,Amzie Strickland,比尔·冈,卡尔·巴兰蒂尼,Iggie Wolfington",1966-11-10,"喜剧,犯罪",8.7,1549,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2314094225.webp
102,三个臭皮匠,"Moses Horwitz,Louis Feinberg,Jerome Lester Horwitz",2000-04-24,"剧情,喜剧,传记",8.7,1213,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2342419841.webp
